id,address,flow,year,funktion_3_title,funktion_3_address,einzelplan_1_title,gruppe_2_address,gruppe_3_address,gruppe_2_title,gruppe_1_address,einzelplan_1_address,funktion_2_title,account,name,title,gruppe_1_title,einzelplan_2_address,value,funktion_1_title,funktion_2_address,gruppe_3_title,einzelplan_2_title,funktion_1_address,flexible
11,101381201,ausgaben,2012,Andere Einrichtungen für Wissenschaft und Forschung,165,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",81,812,Erwerb von beweglichen Sachen,8,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1013 812 01 - 165,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungs- , Forschungs- und Versuchszwecke",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1013,1203,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Erwerb von Geräten und sonstigen beweglichen Sachen,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",1,1
12,120851121,ausgaben,2012,Wasserstraßen und Häfen,731,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",51,511,Sächliche Verwaltungsausgaben (Obergruppe 51),5,12,"Wasserstraßen und Häfen, Förderung der Schifffahrt",funktion,1208 511 21 - 731,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1208,12,Verkehrs- und Nachrichtenwesen,73,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",Bundesamt für Seeschifffahrt und Hydrographie,7,0
13,071011101,einnahmen,2012,Sonstige Rechtsschutzaufgaben,059,Bundesministerium der Justiz,11,111,Verwaltungseinnahmen,1,07,Rechtsschutz,funktion,0710 111 01 - 059,"Gebühren, sonstige Entgelte","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0710,302315,Allgemeine Dienste,05,"Gebühren, sonstige Entgelte",Deutsches Patent- und Markenamt,0,0
14,090154201,ausgaben,2012,Informationswesen,013,Bundesministerium für Wirtschaft und Technologie,54,542,Sächliche Verwaltungsausgaben (Obergruppe 54),5,09,Politische Führung und zentrale Verwaltung,funktion,0901 542 01 - 013,Öffentlichkeitsarbeit,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0901,3083,Allgemeine Dienste,01,Sonstiges,Bundesministerium,0,0
15,170297201,ausgaben,2012,Globale Minderausgaben/globale Mehreinnahmen,989,"Bundesministerium für Familie, Senioren, Frauen und Jugend",97,972,Globale Mehr- und Minderausgaben,9,17,Globalposten,funktion,1702 972 01 - 989,Globale Minderausgabe,Besondere Finanzierungsausgaben,1702,0,Allgemeine Finanzwirtschaft,98,Globale Minderausgaben,Allgemeine Bewilligungen,9,0
16,101581101,ausgaben,2012,Andere Einrichtungen für Wissenschaft und Forschung,165,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",81,811,Erwerb von beweglichen Sachen,8,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1015 811 01 - 165,Erwerb von Fahrzeugen,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1015,127,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Erwerb von Fahrzeugen,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",1,1
17,320554102,ausgaben,2012,Schuldenverwaltung und sonstige Finanzverwaltung,062,Bundesschuld,54,541,Sächliche Verwaltungsausgaben (Obergruppe 54),5,32,Finanzverwaltung,funktion,3205 541 02 - 062,Zahlungen an die Bundesrepublik Deutschland - Finanzagentur GmbH -,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",3205,39000,Allgemeine Dienste,06,Sonstiges,Verzinsung,0,0
18,320554101,ausgaben,2012,Schulden,920,Bundesschuld,54,541,Sächliche Verwaltungsausgaben (Obergruppe 54),5,32,Schulden,funktion,3205 541 01 - 920,Ausgaben aus Anlass der Beschaffung von Mitteln im Wege des Kredits,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",3205,13464,Allgemeine Finanzwirtschaft,92,Sonstiges,Verzinsung,9,0
19,062554501,ausgaben,2012,Bundesgrenzschutz (nur Bund),041,Bundesministerium des Innern,54,545,Sächliche Verwaltungsausgaben (Obergruppe 54),5,06,Öffentliche Sicherheit und Ordnung,funktion,0625 545 01 - 041,"Konferenzen, Tagungen, Messen und Ausstellungen","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0625,250,Allgemeine Dienste,04,Sonstiges,Bundespolizei,0,1
20,300113201,einnahmen,2012,Politische Führung,011,Bundesministerium für Bildung und Forschung,13,132,"Erlöse aus der Veräußerung von Gegenständen, Kapitalrückzahlungen",1,30,Politische Führung und zentrale Verwaltung,funktion,3001 132 01 - 011,Erlöse aus der Veräußerung von beweglichen Sachen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",3001,5,Allgemeine Dienste,01,Erlöse aus der Veräußerung von beweglichen Sachen,Bundesministerium,0,0
21,061552501,ausgaben,2012,Innere Verwaltung,012,Bundesministerium des Innern,52,525,Sächliche Verwaltungsausgaben (Obergruppe 52),5,06,Politische Führung und zentrale Verwaltung,funktion,0615 525 01 - 012,Aus- und Fortbildung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0615,578,Allgemeine Dienste,01,Aus- und Fortbildung,Bundesverwaltungsamt,0,1
22,160751801,ausgaben,2012,Behörden für Reaktorsicherheit und Strahlenschutz,341,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,16,Reaktorsicherheit und Strahlenschutz,funktion,1607 518 01 - 341,Mieten und Pachten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1607,19,"Gesundheit, Umwelt, Sport und Erholung",34,Mieten und Pachten,Bundesamt für Strahlenschutz,3,1
23,061553103,ausgaben,2012,Innere Verwaltung,012,Bundesministerium des Innern,53,531,Sächliche Verwaltungsausgaben (Obergruppe 53),5,06,Politische Führung und zentrale Verwaltung,funktion,0615 531 03 - 012,Abgeltung von Ansprüchen nach dem Urheberrecht,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0615,312,Allgemeine Dienste,01,Sonstiges,Bundesverwaltungsamt,0,1
24,300489470,ausgaben,2012,Gemeinsame Forschungsförderung von Bund und Ländern,164,Bundesministerium für Bildung und Forschung,89,894,Zuschüsse für Investitionen an sonstige Bereiche,8,30,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,3004 894 70 - 164,HGF-Zentren - Investitionen von bis zu 2 500 T€ im Einzelfall,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,3004,200994,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Zuschüsse für Investitionen an öffentliche Einrichtungen,"Forschung für Innovationen, Hightech-Strategie",1,0
25,300489471,ausgaben,2012,Gemeinsame Forschungsförderung von Bund und Ländern,164,Bundesministerium für Bildung und Forschung,89,894,Zuschüsse für Investitionen an sonstige Bereiche,8,30,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,3004 894 71 - 164,HGF-Zentren - Investitionen von mehr als 2 500 T€ im Einzelfall,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,3004,188225,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Zuschüsse für Investitionen an öffentliche Einrichtungen,"Forschung für Innovationen, Hightech-Strategie",1,0
26,062352701,ausgaben,2012,Sonstiges,049,Bundesministerium des Innern,52,527,Sächliche Verwaltungsausgaben (Obergruppe 52),5,06,Öffentliche Sicherheit und Ordnung,funktion,0623 527 01 - 049,Dienstreisen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0623,1243,Allgemeine Dienste,04,Dienstreisen,Bundesamt für Sicherheit in der Informationstechnik,0,1
27,060881231,ausgaben,2012,Sonstige allgemeine Staatsaufgaben,019,Bundesministerium des Innern,81,812,Erwerb von beweglichen Sachen,8,06,Politische Führung und zentrale Verwaltung,funktion,0608 812 31 - 019,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,0608,16,Allgemeine Dienste,01,Erwerb von Geräten und sonstigen beweglichen Sachen,Statistisches Bundesamt,0,1
28,040851701,ausgaben,2012,"Wissenschaftliche Bibliotheken, Archive, Fachinformationszentren",162,Bundeskanzlerin und Bundeskanzleramt,51,517,Sächliche Verwaltungsausgaben (Obergruppe 51),5,04,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,0408 517 01 - 162,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0408,3882,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,1,1
29,080416101,einnahmen,2012,"Steuer- und Zollverwaltung, Vermögensverwaltung",061,Bundesministerium der Finanzen,16,161,Zinseinnahmen aus sonstigen Bereichen,1,08,Finanzverwaltung,funktion,0804 161 01 - 061,Zinseinnahmen von öffentlichen Unternehmen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0804,0,Allgemeine Dienste,06,Zinseinnahmen von öffentlichen Unternehmen und Einrichtungen,Bundeszollverwaltung,0,0
30,091711101,einnahmen,2012,Verwaltung,610,Bundesministerium für Wirtschaft und Technologie,11,111,Verwaltungseinnahmen,1,09,Verwaltung,funktion,0917 111 01 - 610,"Gebühren, sonstige Entgelte","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0917,9000,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",61,"Gebühren, sonstige Entgelte",Bundeskartellamt,6,0
31,150453255,ausgaben,2012,Maßnahmen des Gesundheitswesens,314,Bundesministerium für Gesundheit,53,532,Sächliche Verwaltungsausgaben (Obergruppe 53),5,15,Einrichtungen und Maßnahmen des Gesundheitswesens,funktion,1504 532 55 - 314,Ausgaben für Aufträge und Dienstleistungen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1504,56,"Gesundheit, Umwelt, Sport und Erholung",31,Sonstiges,Bundeszentrale für gesundheitliche Aufklärung,3,1
32,070581255,ausgaben,2012,Verwaltungsgerichte,053,Bundesministerium der Justiz,81,812,Erwerb von beweglichen Sachen,8,07,Rechtsschutz,funktion,0705 812 55 - 053,"Erwerb von Datenverarbeitungsanlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen, Software",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,0705,181,Allgemeine Dienste,05,Erwerb von Geräten und sonstigen beweglichen Sachen,Bundesverwaltungsgericht,0,1
33,160197202,ausgaben,2012,Globale Minderausgaben/globale Mehreinnahmen,989,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",97,972,Globale Mehr- und Minderausgaben,9,16,Globalposten,funktion,1601 972 02 - 989,Globale Minderausgabe,Besondere Finanzierungsausgaben,1601,-15000,Allgemeine Finanzwirtschaft,98,Globale Minderausgaben,Bundesministerium,9,0
34,110152711,ausgaben,2012,"Hilfe für Berufsausbildung, Fortbildung und Umschulung",252,Bundesministerium für Arbeit und Soziales,52,527,Sächliche Verwaltungsausgaben (Obergruppe 52),5,11,Arbeitsmarktpolitik und Arbeitsschutz,funktion,1101 527 11 - 252,Dienstreisen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1101,51,"Soziale Sicherung, soziale Kriegsfolgeaufgaben, Wiedergutmachung",25,Dienstreisen,Bundesministerium,2,1
35,111363602,ausgaben,2012,Rentenversicherung der Angestellten und Arbeiter (nur Bund),221,Bundesministerium für Arbeit und Soziales,63,636,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,6,11,Sozialversicherung einschließlich Arbeitslosenversicherung,funktion,1113 636 02 - 221,Erstattung an die Deutsche Rentenversicherung Bund für Gutachterkosten im Zusammenhang mit der Grundsicherung im Alter und bei Erwerbsminderung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,1113,5000,"Soziale Sicherung, soziale Kriegsfolgeaufgaben, Wiedergutmachung",22,Sonstige Zuweisungen an Sozialversicherungsträger sowie an die Bundesanstalt für Arbeit,Sozialversicherung und Erstattungen im Zusammenhang mit der Grundsicherung im Alter und bei Erwerbsminderung,2,0
36,111363603,ausgaben,2012,Rentenversicherung der Angestellten und Arbeiter (nur Bund),221,Bundesministerium für Arbeit und Soziales,63,636,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,6,11,Sozialversicherung einschließlich Arbeitslosenversicherung,funktion,1113 636 03 - 221,Kosten der Nachversicherung gem. Art. 6 §§ 19 und 23 des Fremdrenten- und Auslandsrenten-Neuregelungsgesetzes,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,1113,350,"Soziale Sicherung, soziale Kriegsfolgeaufgaben, Wiedergutmachung",22,Sonstige Zuweisungen an Sozialversicherungsträger sowie an die Bundesanstalt für Arbeit,Sozialversicherung und Erstattungen im Zusammenhang mit der Grundsicherung im Alter und bei Erwerbsminderung,2,0
37,111363601,ausgaben,2012,Unfallversicherung,223,Bundesministerium für Arbeit und Soziales,63,636,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,6,11,Sozialversicherung einschließlich Arbeitslosenversicherung,funktion,1113 636 01 - 223,Verwaltungskostenerstattung des Bundes an die Unfallkasse des Bundes,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,1113,7600,"Soziale Sicherung, soziale Kriegsfolgeaufgaben, Wiedergutmachung",22,Sonstige Zuweisungen an Sozialversicherungsträger sowie an die Bundesanstalt für Arbeit,Sozialversicherung und Erstattungen im Zusammenhang mit der Grundsicherung im Alter und bei Erwerbsminderung,2,0
38,111363604,ausgaben,2012,Rentenversicherung der Angestellten und Arbeiter (nur Bund),221,Bundesministerium für Arbeit und Soziales,63,636,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,6,11,Sozialversicherung einschließlich Arbeitslosenversicherung,funktion,1113 636 04 - 221,Kosten der Nachversicherung gem. §§ 23 und 23a des Gesetzes zur Regelung der Verbindlichkeiten nationalsozialistischer Einrichtungen und der Rechtsverhältnisse an deren Vermögen,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,1113,1400,"Soziale Sicherung, soziale Kriegsfolgeaufgaben, Wiedergutmachung",22,Sonstige Zuweisungen an Sozialversicherungsträger sowie an die Bundesanstalt für Arbeit,Sozialversicherung und Erstattungen im Zusammenhang mit der Grundsicherung im Alter und bei Erwerbsminderung,2,0
39,121451801,ausgaben,2012,Wetterdienst,760,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,12,Wetterdienst,funktion,1214 518 01 - 760,Mieten und Pachten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1214,3710,Verkehrs- und Nachrichtenwesen,76,Mieten und Pachten,Deutscher Wetterdienst,7,1
40,121451802,ausgaben,2012,Wetterdienst,760,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,12,Wetterdienst,funktion,1214 518 02 - 760,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1214,691,Verkehrs- und Nachrichtenwesen,76,Mieten und Pachten,Deutscher Wetterdienst,7,0
41,016743457,ausgaben,2012,"Versorgung einschließlich Beihilfen für Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,43,434,Versorgungsbezüge und dgl.,4,01,Politische Führung und zentrale Verwaltung,funktion,0167 434 57 - 018,Zuführung an die Versorgungsrücklage,Personalausgaben,0167,82,Allgemeine Dienste,01,Zuführung an die Versorgungsrücklage,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter des Einzelplans 01,0,0
42,300468580,ausgaben,2012,Kernenergie,621,Bundesministerium für Bildung und Forschung,68,685,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,6,30,"Energie- und Wasserwirtschaft, Kulturbau",funktion,3004 685 80 - 621,Stilllegung und Rückbau kerntechnischer Versuchs- und Demonstrationsanlagen,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,3004,156452,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",62,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,"Forschung für Innovationen, Hightech-Strategie",6,0
43,091652601,ausgaben,2012,Verwaltung,610,Bundesministerium für Wirtschaft und Technologie,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,09,Verwaltung,funktion,0916 526 01 - 610,Gerichts- und ähnliche Kosten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0916,60,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",61,"Sachverständige, Gerichts- und ähnliche Kosten",Bundesamt für Wirtschaft und Ausfuhrkontrolle,6,1
44,091652602,ausgaben,2012,Verwaltung,610,Bundesministerium für Wirtschaft und Technologie,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,09,Verwaltung,funktion,0916 526 02 - 610,Sachverständige,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0916,5,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",61,"Sachverständige, Gerichts- und ähnliche Kosten",Bundesamt für Wirtschaft und Ausfuhrkontrolle,6,1
45,080951802,ausgaben,2012,"Steuer- und Zollverwaltung, Vermögensverwaltung",061,Bundesministerium der Finanzen,51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,08,Finanzverwaltung,funktion,0809 518 02 - 061,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0809,2500,Allgemeine Dienste,06,Mieten und Pachten,Bundesmonopolverwaltung für Branntwein,0,0
46,081352621,ausgaben,2012,Verteidigungslasten im Zusammenhang mit dem Aufenthalt ausländischer Streitkräfte,033,Bundesministerium der Finanzen,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,08,Verteidigung (nur Bund),funktion,0813 526 21 - 033,Gerichts- und ähnliche Kosten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0813,0,Allgemeine Dienste,03,"Sachverständige, Gerichts- und ähnliche Kosten",Wiedergutmachungen des Bundes,0,0
47,160254401,ausgaben,2012,Forschung und experimentelle Entwicklung zum Umweltschutz (Einzelmaßnahmen),173,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",54,544,Sächliche Verwaltungsausgaben (Obergruppe 54),5,16,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1602 544 01 - 173,"Forschung, Untersuchungen und Ähnliches","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1602,30181,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",17,Sonstiges,"Allgemeine Bewilligungen, Umweltschutz, Naturschutz, erneuerbare Energien",1,0
48,120854401,ausgaben,2012,Forschung und experimentelle Entwicklung zum Umweltschutz (Einzelmaßnahmen),173,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",54,544,Sächliche Verwaltungsausgaben (Obergruppe 54),5,12,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1208 544 01 - 173,"Forschung, Untersuchungen und Ähnliches","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1208,1089,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",17,Sonstiges,Bundesamt für Seeschifffahrt und Hydrographie,1,1
